Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,VEGE,Total T_USED (s)
   54, 3.293E+02, 7.149E+01, 9.494E+00, 4.178E+01, 2.772E+01, 1.811E+01, 1.136E+02, 0.000E+00, 7.521E+02, 3.242E+01, 1.469E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   55, 3.294E+02, 7.218E+01, 9.373E+00, 4.172E+01, 2.769E+01, 1.840E+01, 1.106E+02, 0.000E+00, 7.620E+02, 3.291E+01, 1.461E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   56, 3.235E+02, 7.520E+01, 9.345E+00, 3.502E+01, 2.671E+01, 1.717E+01, 1.057E+02, 0.000E+00, 7.533E+02, 4.175E+01, 1.478E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   57, 3.124E+02, 7.165E+01, 9.373E+00, 3.469E+01, 2.728E+01, 1.737E+01, 1.134E+02, 0.000E+00, 7.517E+02, 4.058E+01, 1.487E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   58, 3.368E+02, 8.022E+01, 9.338E+00, 3.473E+01, 2.722E+01, 1.730E+01, 1.008E+02, 0.000E+00, 7.574E+02, 4.135E+01, 1.460E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   59, 3.358E+02, 7.719E+01, 9.212E+00, 3.465E+01, 2.730E+01, 1.722E+01, 9.419E+01, 0.000E+00, 7.500E+02, 4.072E+01, 1.479E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   60, 3.186E+02, 8.560E+01, 9.292E+00, 3.435E+01, 2.667E+01, 1.696E+01, 1.065E+02, 0.000E+00, 7.676E+02, 4.013E+01, 1.460E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   61, 3.090E+02, 8.514E+01, 9.253E+00, 3.407E+01, 2.701E+01, 1.686E+01, 1.140E+02, 0.000E+00, 7.574E+02, 3.976E+01, 1.473E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   62, 3.299E+02, 8.590E+01, 9.228E+00, 3.415E+01, 2.716E+01, 1.702E+01, 1.008E+02, 0.000E+00, 7.613E+02, 4.089E+01, 1.459E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   63, 3.449E+02, 8.659E+01, 9.198E+00, 3.399E+01, 2.699E+01, 1.682E+01, 9.810E+01, 0.000E+00, 7.582E+02, 4.040E+01, 1.450E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
