Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,VEGE,Total T_USED (s)
   43, 3.738E+02, 3.767E+01, 1.110E+01, 4.761E+01, 3.915E+01, 2.323E+01, 9.392E+01, 0.000E+00, 1.476E-01, 4.939E-01, 1.444E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   44, 3.445E+02, 3.723E+01, 1.061E+01, 4.410E+01, 3.877E+01, 2.130E+01, 9.530E+01, 0.000E+00, 1.439E-01, 5.146E-01, 1.478E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   45, 3.503E+02, 3.756E+01, 1.082E+01, 4.350E+01, 3.960E+01, 2.157E+01, 9.377E+01, 0.000E+00, 1.402E-01, 5.269E-01, 1.473E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   46, 3.558E+02, 3.721E+01, 1.062E+01, 4.382E+01, 3.984E+01, 2.113E+01, 9.785E+01, 0.000E+00, 1.463E-01, 5.329E-01, 1.464E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   47, 3.653E+02, 3.824E+01, 1.110E+01, 4.766E+01, 4.024E+01, 2.351E+01, 9.334E+01, 0.000E+00, 1.529E-01, 5.168E-01, 1.451E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   48, 3.676E+02, 3.809E+01, 1.074E+01, 5.649E+01, 3.309E+01, 2.253E+01, 1.189E+02, 0.000E+00, 1.480E-01, 5.481E-01, 1.423E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   49, 3.550E+02, 3.810E+01, 1.082E+01, 5.674E+01, 3.268E+01, 2.231E+01, 1.240E+02, 0.000E+00, 1.429E-01, 5.719E-01, 1.430E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   50, 3.636E+02, 3.798E+01, 1.067E+01, 5.639E+01, 3.262E+01, 2.227E+01, 1.235E+02, 0.000E+00, 1.464E-01, 5.687E-01, 1.423E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   51, 3.650E+02, 3.800E+01, 1.076E+01, 5.629E+01, 3.256E+01, 2.260E+01, 1.187E+02, 0.000E+00, 1.435E-01, 5.609E-01, 1.426E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   52, 3.497E+02, 4.128E+01, 1.117E+01, 4.989E+01, 3.201E+01, 2.196E+01, 1.083E+02, 0.000E+00, 1.327E-01, 3.859E+01, 1.418E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
